Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
303,866,N,SoIllinois,23,32,55,136,131.5,170,69
303,867,N,Bradley,16,40,56,143,140.5,NL,72.5
303,868,N,WichitaState,42,40,82,21,21.5,NL,7.5
303,869,N,MissouriSt,31,39,70,123,125,135,67
303,870,N,NorthernIowa,29,35,64,pk,2.5,-155,3
303,871,V,WiscMilwaukee,39,46,85,149,147.5,-110,78.5
303,872,H,DetroitU,25,35,60,1.5,pk,-110,3.5
303,873,N,YoungstownState,33,51,84,141.5,144.5,175,78
303,874,N,ClevelandState,37,32,69,4.5,4.5,-200,1.5
303,875,N,Delaware,39,42,81,141,141,375,78.5
303,876,N,Hofstra,47,29,76,9,9,-450,3
303,877,N,Drexel,33,37,70,137.5,139,155,73
303,878,N,JamesMadison,25,55,80,3,3.5,-175,4
303,879,N,Pacific,41,48,89,4,4.5,-200,3.5
303,880,N,Pepperdine,42,42,84,141,139.5,175,77
303,881,N,PortlandU,32,28,60,129.5,131.5,190,71.5
303,882,N,SanDiego,29,26,55,2.5,5,-220,5
303,883,N,TheCitadel,39,39,78,1,3,-155,2
303,884,N,WesternCarolina,40,32,72,166.5,165.5,135,88.5
303,885,N,VMI,24,37,61,153.5,153.5,400,79.5
303,886,N,Samford,38,41,79,10,9.5,-500,1.5
303,887,N,Niagara,30,29,59,153.5,156.5,500,83.5
303,888,N,Monmouth,47,37,84,13,11.5,-700,2
303,889,N,Canisius,25,33,58,132.5,134.5,235,70
303,890,N,St.Peter's,30,31,61,5,6.5,-275,2
303,891,V,JacksonvilleSt,31,34,65,138,138,320,73.5
303,892,H,Belmont,30,29,59,6.5,8,-380,5.5
303,893,N,MurrayState,36,31,67,1,153,110,81
303,894,N,TennMartin,34,39,73,156,1.5,-130,1
303,895,N,Campbell,29,37,66,129,2,-130,69.5
303,896,N,Radford,26,24,50,pk,129.5,110,0.5
303,897,V,GardnerWebb,29,39,77,152.5,152.5,250,76.5
303,898,H,Winthrop,23,45,80,6.5,6.5,-300,5
304,517,V,Illinois,27,32,59,3.5,5.5,-250,5.5
304,518,H,Rutgers,30,32,62,129.5,129.5,210,70
304,519,V,IndianaU,54,42,96,148.5,148,135,80.5
304,520,H,OhioState,40,52,92,3,3,-155,5.5
304,521,V,Providence,37,49,86,1,148.5,-110,77.5
304,522,H,St.Johns,25,50,75,147.5,pk,-110,3.5
304,523,V,Villanova,38,43,81,7.5,9,-500,3.5
304,524,H,Georgetown,28,27,55,140,140.5,400,75
304,525,V,Pittsburgh,15,27,42,118.5,122,500,65
304,526,H,Virginia,32,35,67,12,11,-700,2
304,527,V,Kentucky,32,39,71,7.5,6.5,-300,3.5
304,528,H,TexasA&M,28,35,63,146.5,145,250,75
304,529,V,Alabama,36,18,54,133.5,134.5,125,71
304,530,H,Tennessee,22,37,59,3,2.5,-145,5
304,531,V,TexasTech,22,26,48,135.5,134,135,2.5
304,532,H,KansasState,34,27,61,3.5,3,-155,70
304,533,V,St.Josephs,28,35,63,147.5,145.5,135,0.5
304,534,H,Duquesne,35,25,60,2,3,-155,77.5
304,535,V,Xavier,33,46,79,6,5,-210,2.5
304,536,H,Depaul,30,35,65,145,144.5,180,76
304,537,V,Fordham,22,32,54,135.5,136,270,70
304,538,H,LaSalle,25,41,66,5.5,7.5,-330,4
304,539,V,NotreDame,27,37,64,146.5,146,290,75.5
304,540,H,Louisville,30,41,71,8,7.5,-350,3.5
304,541,V,BostonCollege,26,42,68,151.5,149,650,79
304,542,H,Clemson,42,40,82,14,12,-1000,3
304,543,V,Georgia,37,30,67,149.5,150.5,260,80.5
304,544,H,Arkansas,38,47,85,6,7,-310,4
304,545,V,California,25,21,46,133.5,136,135,71
304,546,H,Colorado,22,32,54,2,3,-155,2.5
304,547,V,Florida,40,31,71,4,3.5,-170,76.5
304,548,H,Vanderbilt,31,42,73,139,141,150,0.5
304,549,V,GeorgeMason,25,35,60,147,145.5,600,75.5
304,550,H,VaCommonwealth,35,37,72,11.5,12,-900,4.5
304,551,V,SouthernMiss,33,32,65,135.5,135.5,1450,74
304,552,H,LouisianaTech,49,44,93,18.5,17.5,-2750,5.5
304,553,V,GeorgiaSouthern,32,35,67,145.5,146.5,375,76
304,554,H,GeorgiaState,28,44,72,6.5,8.5,-450,7.5
304,555,V,Creighton,42,41,83,164,161.5,175,0.5
304,556,H,Marquette,52,39,91,3.5,4,-200,88
304,557,V,SetonHall,35,35,70,142,141,350,75.5
304,558,H,Butler,38,26,64,8.5,8.5,-420,4.5
304,559,V,TexasState,34,36,70,1,2,-130,0.5
304,560,H,ULMonroe,30,35,65,122.5,123,110,68
304,561,V,TCU,31,37,68,141,141.5,145,73.5
304,562,H,Oklahoma,33,40,73,3.5,3.5,-165,1.5
304,563,V,CharlotteU,25,42,67,148,147.5,230,76.5
304,564,H,UTEP,29,45,74,6,6,-270,2.5
304,565,V,CoastalCarolina,30,43,73,147,2,-130,4
304,566,H,AppalachianSt,48,29,77,pk,147.5,110,79.5
304,567,V,Missouri,40,38,78,152.5,155.5,375,84
304,568,H,Auburn,54,35,89,9,9,-450,1
304,569,V,GeorgiaTech,26,35,61,132.5,136,400,72.5
304,570,H,Syracuse,38,52,90,8.5,9,-500,2
304,571,V,Massachusetts,23,33,56,152.5,148,360,76.5
304,572,H,St.Bonaventure,30,30,60,9,8.5,-430,3
304,573,V,Baylor,40,35,75,6,6,-260,0.5
