2007-08 season:|Mon Nov 19 2007|at Mem|Memphis 125|Seattle 108  | | |
2007-08 season:|Mon Nov 19 2007|at NOH|Orlando 95|NO Hornets 88  | | |
2007-08 season:|Mon Nov 19 2007|at Uta|Utah 102|New Jersey 75  | | |
2007-08 season:|Tue Nov 20 2007|at Wsh|Washington 116|Philadelphia 101  | | |
2007-08 season:|Tue Nov 20 2007|at Atl|San Antonio 95|Atlanta 83  | | |
2007-08 season:|Tue Nov 20 2007|at Cle|Milwaukee 111|Cleveland 107  | | |
2007-08 season:|Tue Nov 20 2007|at Ind|LA Lakers 134|Indiana 114  | | |
2007-08 season:|Tue Nov 20 2007|at NY|Golden State 108|New York 82  | | |
2007-08 season:|Tue Nov 20 2007|at Dal|Dallas 105|Toronto 99  | | |
2007-08 season:|Tue Nov 20 2007|at Den|Denver 112|Chicago 91  | | |
2007-08 season:|Tue Nov 20 2007|at Sac|Phoenix 100|Sacramento 98  | | |
2007-08 season:|Wed Nov 21 2007|at ChB|Washington 114|Cha Bobcats 111 (OT)| | |
2007-08 season:|Wed Nov 21 2007|at Bos|Boston 105|Golden State 82  | | |
2007-08 season:|Wed Nov 21 2007|at Mia|Atlanta 82|Miami 79  | | |
2007-08 season:|Wed Nov 21 2007|at Hou|Dallas 100|Houston 94  | | |
2007-08 season:|Wed Nov 21 2007|at Det|Detroit 98|New York 86  | | |
2007-08 season:|Wed Nov 21 2007|at Mil|Milwaukee 110|LA Lakers 103  | | |
2007-08 season:|Wed Nov 21 2007|at Mem|Toronto 95|Memphis 89  | | |
2007-08 season:|Wed Nov 21 2007|at NOH|Indiana 105|NO Hornets 93  | | |
2007-08 season:|Wed Nov 21 2007|at Min|Cleveland 97|Minnesota 86  | | |
2007-08 season:|Wed Nov 21 2007|at SA|San Antonio 128|Orlando 110  | | |
2007-08 season:|Wed Nov 21 2007|at Pho|Phoenix 127|Sacramento 111  | | |
2007-08 season:|Wed Nov 21 2007|at Por|New Jersey 106|Portland 101  | | |
2007-08 season:|Wed Nov 21 2007|at LAC|LA Clippers 101|Denver 90  | | |
2007-08 season:|Fri Nov 23 2007|at Wsh|Golden State 123|Washington 115  | | |
2007-08 season:|Fri Nov 23 2007|at Orl|Orlando 105|Cha Bobcats 92  | | |
2007-08 season:|Fri Nov 23 2007|at Bos|Boston 107|LA Lakers 94  | | |
2007-08 season:|Fri Nov 23 2007|at Mia|Miami 98|Houston 91  | | |
2007-08 season:|Fri Nov 23 2007|at Det|Detroit 83|Philadelphia 78  | | |
2007-08 season:|Fri Nov 23 2007|at Ind|Indiana 111|Dallas 107  | | |
2007-08 season:|Fri Nov 23 2007|at SA|San Antonio 101|Memphis 88  | | |
2007-08 season:|Fri Nov 23 2007|at Den|Denver 99|Minnesota 93  | | |
2007-08 season:|Fri Nov 23 2007|at Uta|Utah 99|NO Hornets 71  | | |
2007-08 season:|Fri Nov 23 2007|at Pho|Phoenix 113|LA Clippers 94  | | |
2007-08 season:|Fri Nov 23 2007|at Por|Portland 87|Sacramento 84  | | |
2007-08 season:|Fri Nov 23 2007|at Sea|New Jersey 98|Seattle 93  | | |
2007-08 season:|Sat Nov 24 2007|at NY|New York 85|Chicago 78  | | |
2007-08 season:|Sat Nov 24 2007|at Cle|Cleveland 111|Toronto 108  | | |
2007-08 season:|Sat Nov 24 2007|at Phi|Golden State 100|Philadelphia 98 (OT)| | |
2007-08 season:|Sat Nov 24 2007|at ChB|Boston 96|Cha Bobcats 95  | | |
2007-08 season:|Sat Nov 24 2007|at Orl|Orlando 120|Miami 99  | | |
2007-08 season:|Sat Nov 24 2007|at Mem|Memphis 124|Washington 118  | | |
2007-08 season:|Sat Nov 24 2007|at Min|Atlanta 94|Minnesota 87  | | |
2007-08 season:|Sat Nov 24 2007|at Hou|Houston 109|Denver 81  | | |
2007-08 season:|Sat Nov 24 2007|at Mil|Milwaukee 97|Dallas 95  | | |
2007-08 season:|Sat Nov 24 2007|at LAC|NO Hornets 98|LA Clippers 89  | | |
2007-08 season:|Sun Nov 25 2007|at Tor|Toronto 93|Chicago 78  | | |
2007-08 season:|Sun Nov 25 2007|at Ind|Cleveland 111|Indiana 106  | | |
