"Mountain West","San Diego St",7002,san-diego-state
"Mountain West","San Jose St",7024,san-jose-state
"Mountain West",UNLV,5323,unlv
"Mountain West","Utah St",8325,utah-state
"Mountain West",Wyoming,9162,wyoming
Northeast,Bryant,950,bryant-university
Northeast,"Central Conn",1372,central-connecticut-state
Northeast,"F Dickinson",2536,fairleigh-dickinson
Northeast,"Long Island",4164,long-island
Northeast,"Mt St Mary's",5187,mount-st-marys
Northeast,"Robert Morris",6588,robert-morris
Northeast,"Sacred Heart",6718,sacred-heart
Northeast,"St Francis NY",7509,stfrancis-ny
Northeast,"St Francis PA",6791,stfrancis-pa
Northeast,Wagner,8500,wagner
OVC,"Austin Peay",451,austin-peay
OVC,Belmont,589,belmont
OVC,"E Illinois",2341,eastern-illinois
OVC,"E Kentucky",2346,eastern-kentucky
OVC,"Jacksonville St",3606,jacksonville-state
OVC,"Morehead St",5105,morehead-state
OVC,"Murray St",5228,murray-state
OVC,Edwardsville,7199,siu-edwardsville
OVC,"SE Missouri St",7300,southeast-missouri-state
OVC,"TN Martin",7813,tennessee-martin
OVC,"Tennessee St",7822,tennessee-state
OVC,"Tennessee Tech",7826,tennessee-tech
P12,Arizona,294,arizona
P12,"Arizona St",304,arizona-state
P12,California,1098,california
P12,Colorado,1715,colorado
P12,Oregon,5961,oregon
P12,"Oregon St",5970,oregon-state
P12,USC,8251,southern-california
P12,Stanford,7582,stanford
P12,UCLA,8141,ucla
P12,Utah,8315,utah
P12,Washington,8551,washington
P12,"Washington St",8588,washington-state
PL,"American Univ",227,american-university
PL,Army,356,army
PL,"Boston Univ",796,boston-university
PL,Bucknell,964,bucknell
PL,Colgate,1675,colgate
PL,"Holy Cross",3304,holy-cross
PL,Lafayette,3888,lafayette
PL,Lehigh,4024,lehigh
PL,"Loyola MD",4245,loyola-md
PL,Navy,5253,navy
SEC,Alabama,74,alabama
SEC,Arkansas,316,arkansas
SEC,Auburn,402,auburn
SEC,Florida,2625,florida
SEC,Georgia,2881,georgia
SEC,Kentucky,3781,kentucky
SEC,LSU,4206,lsu
SEC,Mississippi,4920,mississippi
SEC,"Mississippi St",4936,mississippi-state
SEC,Missouri,4948,missouri
SEC,"South Carolina",7242,south-carolina
SEC,Tennessee,7801,tennessee
SEC,"Texas A&M",7848,texas-am
SEC,Vanderbilt,8367,vanderbilt
Southern,Chattanooga,7809,chattanooga
Southern,Citadel,1545,citadel
Southern,ETSU,2321,east-tennessee-state
Southern,Furman,2800,furman
Southern,Mercer,4649,mercer
Southern,Samford,6987,samford
Southern,"UNC Greensboro",8161,unc-greensboro
Southern,VMI,8450,vmi
Southern,"W Carolina",8742,western-carolina
Southern,Wofford,9126,wofford
Southland,"Abilene Chr",18,abilene-christian
Southland,"Cent Arkansas",1351,central-arkansas
Southland,"Houston Bap",3354,houston-baptist
Southland,"Incarnate Word",3473,incarnate-word
Southland,Lamar,3935,lamar
Southland,"McNeese St",4613,mcneese-state
Southland,"New Orleans",5394,new-orleans
Southland,"Nicholls St",5455,nicholls-state
Southland,"Northwestern LA",5724,northwestern-state
Southland,"Sam Houston St",6981,sam-houston-state
Southland,"SE Louisiana",7314,southeastern-louisiana
Southland,"SF Austin",7600,stephen-faustin
Southland,"TAM C. Christi",7856,texas-am-cc
"Summit League",Denver,2147,denver
"Summit League",IPFW,3586,ipfw
"Summit League","NE Omaha",5300,nebraska-omaha-mavericks
"Summit League","N Dakota St",5545,north-dakota-state
"Summit League","Oral Roberts",5955,oral-roberts
"Summit League","South Dakota",7262,south-dakota
"Summit League","S Dakota St",7268,south-dakota-state
"Summit League","W Illinois",8754,western-illinois
"Sun Belt","Appalachian St",275,appalachian-state
"Sun Belt","Ark Little Rock",325,arkansas-little-rock
"Sun Belt","Arkansas St",333,arkansas-state
"Sun Belt","Coastal Car",1637,coastal-carolina
"Sun Belt","Ga Southern",2899,georgia-southern
"Sun Belt","Georgia St",2907,georgia-state
"Sun Belt",ULL,4194,louisiana-lafayette
"Sun Belt",ULM,4200,louisiana-monroe
"Sun Belt","South Alabama",7237,south-alabama
"Sun Belt","UT Arlington",7872,texas-arlington
"Sun Belt","Texas St",7911,texas-state
"Sun Belt",Troy,8068,troy
SWAC,"Alabama A&M",82,alabama-am
SWAC,"Alabama St",103,alabama-state
SWAC,"Alcorn St",157,alcorn-state
SWAC,"Ark Pine Bluff",343,arkansas-pine-bluff
SWAC,Grambling,2988,grambling-state
SWAC,"Jackson St",3592,jackson-state
SWAC,"MS Valley St",4942,mississippi-valley-state
SWAC,"Prairie View",6317,prairie-view-am
SWAC,"Southern Univ",7392,southern-university
SWAC,"TX Southern",7906,texas-southern
WAC,"CS Bakersfield",1043,cal-state-bakersfield
WAC,"Chicago St",1501,chicago-state
WAC,"Grand Canyon",2993,grand-canyon
WAC,"New Mexico St",5387,new-mexico-state
WAC,Seattle,7084,seattle
WAC,UTRGV,7938,texas-rio-grande-valley
WAC,"Missouri KC",4961,umkc-0
WAC,"Utah Valley",8332,utah-valley
WCC,BYU,891,brigham-young
WCC,Gonzaga,2954,gonzaga
WCC,"Loy Marymount",4238,loyola-marymount
WCC,Pacific,6026,pacific
WCC,Pepperdine,6161,pepperdine
WCC,Portland,6296,portland
WCC,"St Mary's CA",6853,saint-marys-cal
WCC,"San Diego",8241,san-diego
WCC,"San Francisco",7010,san-francisco
WCC,"Santa Clara",7034,santa-clara
