1259,7801,2017-11-02,44,86
7801,1603,2017-11-05,71,67
6326,7801,2017-11-10,53,88
3244,7801,2017-11-14,53,84
6393,7801,2017-11-22,75,78,neutral
8415,7801,2017-11-23,85,76,neutral
5511,7801,2017-11-24,58,67,neutral
4649,7801,2017-11-29,60,84
7801,2911,2017-12-03,77,70
2065,7801,2017-12-09,71,81
5492,7801,2017-12-17,78,73
2800,7801,2017-12-20,61,66
7801,8508,2017-12-23,79,60
7801,316,2017-12-30,93,95
402,7801,2018-01-02,94,84
3781,7801,2018-01-06,65,76
7801,8367,2018-01-09,92,84
7848,7801,2018-01-13,62,75
9130,5850,2017-11-05,63,88
6588,5850,2017-11-10,64,95
6444,5850,2017-11-12,72,82
7906,5850,2017-11-16,64,82
5603,5850,2017-11-19,55,80
2954,5850,2017-11-23,86,59,neutral
7582,5850,2017-11-24,71,79,neutral
1004,5850,2017-11-26,67,66,neutral
1603,5850,2017-11-29,79,65
5850,9031,2017-12-02,83,58
4741,5850,2017-12-04,62,71
8934,5850,2017-12-09,62,97
275,5850,2017-12-16,67,80
1545,5850,2017-12-19,65,94
5492,5850,2017-12-23,86,72,neutral
4725,5850,2017-12-30,59,72
5850,3540,2018-01-04,92,81
4757,5850,2018-01-07,64,80
4474,5850,2018-01-11,69,91
5850,6696,2018-01-14,68,46
7956,3781,2017-10-27,61,103
5105,3781,2017-10-30,67,92
1433,3781,2017-11-03,63,106
8332,3781,2017-11-10,63,73
8393,3781,2017-11-12,69,73
3717,3781,2017-11-14,65,61,neutral
2321,3781,2017-11-17,61,78
8068,3781,2017-11-20,62,70
3586,3781,2017-11-22,67,86
3437,3781,2017-11-26,73,107
3162,3781,2017-12-02,70,79
5023,3781,2017-12-09,76,93,neutral
8459,3781,2017-12-16,86,93
8141,3781,2017-12-23,83,75,neutral
4224,3781,2017-12-29,61,90
2881,3781,2017-12-31,61,66
3781,4206,2018-01-03,74,71
3781,7801,2018-01-06,65,76
7848,3781,2018-01-09,73,74
3781,8367,2018-01-13,74,67
3781,7242,2018-01-16,68,76
3003,4741,2017-11-03,50,82
5558,4741,2017-11-11,66,86
1404,4741,2017-11-13,65,72
7365,4741,2017-11-16,47,61
4206,4741,2017-11-20,77,75,neutral
1442,4741,2017-11-21,64,102,neutral
8443,4741,2017-11-22,60,68,neutral
8207,4741,2017-11-26,42,87
4741,5492,2017-11-29,71,86
3484,4741,2017-12-02,55,69
4741,5850,2017-12-04,62,71
8141,4741,2017-12-09,69,78
4741,7840,2017-12-12,59,52
2176,4741,2017-12-16,58,90,neutral
82,4741,2017-12-21,47,97
3599,4741,2017-12-30,51,76
4741,3540,2018-01-02,75,68
3425,4741,2018-01-06,69,79
6393,4741,2018-01-09,70,69
4741,4757,2018-01-13,82,72
4474,4741,2018-01-15,67,68
2008,7099,2017-11-04,48,77
2536,7099,2017-11-10,68,90
5023,7099,2017-11-12,65,75
3484,7099,2017-11-15,68,84
5366,7099,2017-11-18,53,82
6516,7099,2017-11-23,75,74,neutral
8367,7099,2017-11-24,59,72,neutral
7918,7099,2017-11-30,79,89,neutral
7099,4224,2017-12-03,79,77
8443,7099,2017-12-09,67,90
6906,7099,2017-12-12,61,84
7099,6696,2017-12-16,65,71
8500,7099,2017-12-20,68,89
4360,7099,2017-12-23,62,74
1950,7099,2017-12-28,84,90
6797,7099,2017-12-31,70,75
7099,1004,2018-01-06,90,87
7099,4425,2018-01-09,64,84
2868,7099,2018-01-13,61,74
3421,304,2017-11-10,74,94
7002,304,2017-11-14,68,90
5620,304,2017-11-17,62,97
8122,304,2017-11-19,78,99
3731,304,2017-11-23,90,92,neutral
9170,304,2017-11-24,86,102,neutral
7010,304,2017-12-02,57,75
6797,304,2017-12-08,70,82,neutral
304,3717,2017-12-10,95,85
8367,304,2017-12-17,64,76
4170,304,2017-12-19,61,95
6026,304,2017-12-22,65,104
304,294,2017-12-30,78,84
304,1715,2018-01-04,81,90
304,8315,2018-01-07,80,77
5961,304,2018-01-11,76,72
5970,304,2018-01-13,75,77
2363,294,2017-11-01,63,91
1046,294,2017-11-05,53,91
5620,294,2017-11-10,67,101
4487,294,2017-11-12,78,103
1043,294,2017-11-16,59,91
5511,294,2017-11-22,90,84,neutral
7358,294,2017-11-23,66,60,neutral
6393,294,2017-11-24,89,64,neutral
4159,294,2017-11-29,56,91
294,5323,2017-12-02,91,88
7848,294,2017-12-05,64,67,neutral
74,294,2017-12-09,82,88
294,5371,2017-12-16,89,73
5545,294,2017-12-18,53,83
1872,294,2017-12-21,58,73
304,294,2017-12-30,78,84
294,8315,2018-01-04,94,82
294,1715,2018-01-06,77,80
5970,294,2018-01-11,53,62
5961,294,2018-01-13,83,90
9177,1950,2017-11-10,76,92
157,1950,2017-11-12,72,109
1950,5704,2017-11-15,92,88
8141,1950,2017-11-20,89,100,neutral
557,1950,2017-11-21,65,59,neutral
7199,1950,2017-11-25,66,103
1950,2954,2017-12-01,74,91
5538,1950,2017-12-05,68,111
5279,1950,2017-12-09,65,75
4494,1950,2017-12-15,36,87
7872,1950,2017-12-18,81,90
7254,1950,2017-12-20,62,116
1950,7099,2017-12-28,84,90
6358,1950,2017-12-31,64,83
6797,1950,2018-01-03,71,78
1950,2868,2018-01-06,90,66
1004,1950,2018-01-09,74,85
1950,9170,2018-01-13,70,92
4200,7878,2017-11-10,73,83
7826,7878,2017-11-13,63,100
7262,7878,2017-11-15,71,76
5300,7878,2017-11-20,66,99
5371,7878,2017-11-24,67,69,neutral
6763,7878,2017-11-25,79,89,neutral
589,7878,2017-11-29,76,87
9177,7878,2017-12-02,66,92
7358,7878,2017-12-05,83,94
5316,7878,2017-12-08,80,84,neutral
7906,7878,2017-12-18,72,91
8934,7878,2017-12-22,75,86
5886,7878,2017-12-30,90,89
7878,557,2018-01-02,81,78
3717,7878,2018-01-06,88,84
7878,7840,2018-01-10,98,99
7878,5886,2018-01-13,97,102
901,5316,2017-08-19,58,77,neutral
901,5316,2017-08-20,57,107,neutral
3415,5316,2017-11-10,64,88
6516,5316,2017-11-13,81,88
5316,7034,2017-11-15,93,63
5316,6026,2017-11-18,89,74
2069,5316,2017-11-21,68,81
5316,3197,2017-11-24,67,54
3449,5316,2017-11-29,68,98
5316,8122,2017-12-02,76,65
5316,7918,2017-12-05,76,82
7878,5316,2017-12-08,84,80,neutral
6444,5316,2017-12-17,62,77
8200,5316,2017-12-19,73,88
7339,5316,2017-12-22,64,86,neutral
7010,5316,2017-12-23,66,64,neutral
5316,2776,2017-12-27,80,65
5371,5316,2017-12-30,74,77
9162,5316,2018-01-03,83,92
5316,55,2018-01-06,86,75
8325,5316,2018-01-13,57,83
6791,6853,2017-11-11,68,85
5387,6853,2017-11-13,74,92
1057,6853,2017-11-15,57,76
6853,7024,2017-11-19,79,61
3162,6853,2017-11-23,71,89,neutral
8588,6853,2017-11-24,84,79,neutral
2881,6853,2017-11-26,83,81,neutral
6853,1098,2017-12-02,74,63
1067,6853,2017-12-04,54,70
7084,6853,2017-12-09,73,97
8122,6853,2017-12-16,66,73
2085,6853,2017-12-19,54,69
8153,6853,2017-12-22,69,95
4238,6853,2017-12-28,59,87
6853,891,2017-12-30,74,64
6026,6853,2018-01-04,56,74
8241,6853,2018-01-06,63,70
6853,7034,2018-01-11,81,57
6853,6161,2018-01-13,91,67
2825,2625,2017-11-13,74,116
5558,2625,2017-11-16,68,108
5342,2625,2017-11-19,63,70
7582,2625,2017-11-23,87,108,neutral
2954,2625,2017-11-24,105,111,neutral
2265,2625,2017-11-26,87,84,neutral
2666,2625,2017-12-04,83,66
4254,2625,2017-12-06,65,59
1529,2625,2017-12-09,60,66,neutral
1603,2625,2017-12-16,71,69,neutral
3611,2625,2017-12-20,63,72
3473,2625,2017-12-22,60,75
8367,2625,2017-12-30,74,81
2625,7848,2018-01-02,83,66
2625,4948,2018-01-06,77,75
4936,2625,2018-01-10,54,71
2625,4920,2018-01-13,72,78
6987,316,2017-11-10,56,95
964,316,2017-11-12,73,101
2776,316,2017-11-17,75,83
5886,316,2017-11-23,83,92,neutral
5492,316,2017-11-24,87,68,neutral
1872,316,2017-11-26,67,102,neutral
316,3347,2017-12-02,65,91
1753,316,2017-12-05,66,92
4858,316,2017-12-09,79,95
8068,316,2017-12-16,63,88,neutral
5955,316,2017-12-19,69,104
1043,316,2017-12-27,68,95
7801,316,2017-12-30,93,95
316,4936,2018-01-02,75,78
316,402,2018-01-06,77,88
4206,316,2018-01-10,75,54
4948,316,2018-01-13,63,65
2861,2666,2017-11-14,67,87
2682,2666,2017-11-17,43,67,neutral
1753,2666,2017-11-19,73,90,neutral
3766,2666,2017-11-22,79,98
1545,2666,2017-11-24,78,113
2666,6696,2017-11-28,78,73
2666,2625,2017-12-04,83,66
4245,2666,2017-12-06,71,96
8092,2666,2017-12-10,53,72,neutral
5912,2666,2017-12-16,71,70,neutral
1457,2666,2017-12-18,58,69
7365,2666,2017-12-21,45,98
2666,2265,2017-12-30,93,100
5492,2666,2018-01-03,80,81
2666,4719,2018-01-07,74,80
4224,2666,2018-01-10,73,69
7729,2666,2018-01-13,90,101
2666,783,2018-01-15,75,81
2825,4719,2017-11-10,45,77
5253,4719,2017-11-12,55,89
2633,4719,2017-11-16,59,90
3869,4719,2017-11-22,46,57,neutral
5558,4719,2017-11-25,65,86
4719,4858,2017-11-29,86,81
6339,4719,2017-12-02,52,80,neutral
796,4719,2017-12-05,54,69
4719,2861,2017-12-16,59,50
4719,3197,2017-12-22,75,57
5387,4719,2017-12-23,63,54,neutral
4785,4719,2017-12-25,81,84,neutral
4719,6236,2017-12-30,67,53
4719,2911,2018-01-03,54,64
2666,4719,2018-01-07,74,80
4719,1603,2018-01-13,63,72
2265,4719,2018-01-15,83,75
3796,4224,2017-10-30,64,101
579,4224,2017-11-07,57,72
2855,4224,2017-11-12,61,72
5300,4224,2017-11-17,78,87
7339,4224,2017-11-21,42,84
6791,4224,2017-11-24,72,84
4224,6393,2017-11-28,57,66
7099,4224,2017-12-03,79,77
7163,4224,2017-12-06,60,86
3484,4224,2017-12-09,62,71
950,4224,2017-12-11,59,102
4636,4224,2017-12-16,72,81,neutral
123,4224,2017-12-20,68,70
2993,4224,2017-12-23,56,74
4224,3781,2017-12-29,61,90
6236,4224,2018-01-02,51,77
4224,1603,2018-01-06,69,74
4224,2666,2018-01-10,73,69
8459,4224,2018-01-13,86,94
4224,5749,2018-01-16,82,78
8153,6516,2017-11-10,60,84
6516,5316,2017-11-13,81,88
3304,6516,2017-11-19,66,88
7099,6516,2017-11-23,74,75,neutral
8432,6516,2017-11-24,70,55,neutral
933,6516,2017-11-28,62,86
6358,6516,2017-12-02,68,75
6516,74,2017-12-06,64,68
1685,6516,2017-12-16,62,68
3533,6516,2017-12-21,74,80
2649,6516,2017-12-27,60,80
2855,6516,2017-12-30,64,83
3869,6516,2018-01-03,62,74
6516,2861,2018-01-06,81,60
6516,6841,2018-01-09,72,65
6763,6516,2018-01-13,73,87
1219,5749,2017-11-07,46,90
5749,2157,2017-11-11,72,58
5187,5749,2017-11-13,62,88
1501,5749,2017-11-16,66,105
1442,5749,2017-11-20,56,83,neutral
4206,5749,2017-11-21,53,92,neutral
8898,5749,2017-11-22,66,67,neutral
5749,4757,2017-11-30,63,81
7509,5749,2017-12-03,53,71
501,5749,2017-12-05,80,77
5749,2108,2017-12-09,92,68
3484,5749,2017-12-16,80,77,neutral
2052,5749,2017-12-19,87,97
7314,5749,2017-12-21,50,86
2911,5749,2017-12-30,59,68
5511,5749,2018-01-03,58,88
5749,7729,2018-01-06,51,49
5749,2911,2018-01-10,53,60
5492,5749,2018-01-13,69,68
4224,5749,2018-01-16,82,78
8716,7848,2017-11-11,65,88,neutral
8127,7848,2017-11-17,65,84
5912,7848,2017-11-20,55,72,neutral
6114,7848,2017-11-21,87,98,neutral
6161,7848,2017-11-24,65,81
7848,8251,2017-11-26,75,59
7938,7848,2017-11-30,60,78
294,7848,2017-12-05,67,64,neutral
6317,7848,2017-12-09,53,73
7058,7848,2017-12-13,66,113
5646,7848,2017-12-19,58,64
979,7848,2017-12-21,73,89
7848,74,2017-12-30,57,79
2625,7848,2018-01-02,83,66
4206,7848,2018-01-06,69,68
7848,3781,2018-01-09,73,74
7848,7801,2018-01-13,62,75
4920,7848,2018-01-16,69,71
3121,1004,2017-10-28,36,68
4102,1004,2017-11-04,79,86
3766,1004,2017-11-10,64,82
6339,1004,2017-11-12,75,85
1004,4474,2017-11-15,65,79
2800,1004,2017-11-18,65,82
7840,1004,2017-11-23,61,48,neutral
6302,1004,2017-11-24,69,71,neutral
5850,1004,2017-11-26,66,67,neutral
6841,1004,2017-12-02,45,75
8315,1004,2017-12-05,69,81
9217,1004,2017-12-09,67,95
6393,1004,2017-12-16,82,67,neutral
5105,1004,2017-12-19,69,85
8754,1004,2017-12-21,46,107
1004,2868,2017-12-27,91,89
8415,1004,2017-12-30,93,101
1004,9170,2018-01-02,79,86
7099,1004,2018-01-06,90,87
1004,1950,2018-01-09,74,85
4425,1004,2018-01-12,83,94
1004,6358,2018-01-15,60,70
4116,4425,2017-11-04,79,81
5187,4425,2017-11-10,59,80
6393,4425,2017-11-14,86,71
8443,4425,2017-11-20,83,94,neutral
8898,4425,2017-11-21,80,66,neutral
4206,4425,2017-11-22,84,94,neutral
2341,4425,2017-11-27,83,86
1501,4425,2017-11-29,69,95
2881,4425,2017-12-02,73,66
8393,4425,2017-12-05,81,91
4425,9031,2017-12-09,82,63
5634,4425,2017-12-18,70,79
227,4425,2017-12-21,51,92
9170,4425,2017-12-27,91,87
2868,4425,2017-12-30,65,74
4425,6358,2018-01-03,95,90
4425,8415,2018-01-06,90,100
7099,4425,2018-01-09,64,84
4425,1004,2018-01-12,83,94
2157,4425,2018-01-15,52,70
3554,4948,2017-11-10,59,74
8500,4948,2017-11-13,55,99
4948,8315,2017-11-16,59,77
2478,4948,2017-11-20,62,67
4159,4948,2017-11-23,58,95,neutral
6797,4948,2017-11-24,82,90,neutral
8716,4948,2017-11-26,83,79,neutral
4948,1380,2017-11-30,62,59
4725,4948,2017-12-05,51,70
9055,4948,2017-12-09,77,100
5558,4948,2017-12-16,51,85
7600,4948,2017-12-19,81,82
3425,4948,2017-12-23,70,64,neutral
4948,7242,2018-01-03,79,68
2625,4948,2018-01-06,77,75
2881,4948,2018-01-10,56,68
