aparilu01,1934,Venezuela,Zulia,,160,69,R,R,1956-04-17,1973-09-28,aparilu01,1984,0.8461538461538461
applilu01,1907,USA,NC,1991,183,70,R,R,1930-09-10,1950-10-01,applilu01,1964,0.9402985074626866
archeji01,1883,Ireland,Dublin,1958,168,70,R,R,1904-09-06,1918-09-02,archeji01,-1,0.029850746268656716
arciaos01,1991,Venezuela,Anzoategui,,225,72,L,R,2013-04-15,2016-09-18,arciaos01,-1,-1
arenano01,1991,USA,CA,,205,74,R,R,2013-04-28,2017-10-01,arenano01,-1,-1
arencjp01,1986,USA,FL,,210,73,R,R,2010-08-07,2015-10-01,arencjp01,-1,-1
arftha01,1922,USA,MO,2002,190,70,L,L,1948-07-27,1952-05-23,arftha01,-1,-1
ariasal01,1967,USA,NY,,185,75,R,R,1992-05-12,2002-09-22,ariasal01,-1,-1
ariasjo01,1984,D.R.,Distrito Nacional,,185,73,R,R,2006-09-13,2015-07-24,ariasjo01,-1,-1
armasto01,1953,Venezuela,Anzoategui,,182,71,R,R,1976-09-06,1989-10-01,armasto01,-1,-1
arndtha01,1879,USA,IN,1921,165,,R,R,1902-07-02,1907-05-25,arndtha01,-1,-1
arnovmo01,1910,USA,WI,1959,168,70,R,R,1936-09-14,1946-04-21,arnovmo01,-1,-1
ascheco01,1990,USA,MO,,205,73,L,R,2013-07-30,2017-05-12,ascheco01,-1,-1
ashburi01,1927,USA,NE,1997,170,70,L,R,1948-04-20,1962-09-30,ashburi01,1995,0.41688654353562005
ashbyal01,1951,USA,CA,,185,74,B,R,1973-07-03,1989-05-09,ashbyal01,-1,-1
asprobo01,1938,USA,NY,,170,74,R,R,1956-09-19,1971-09-28,asprobo01,-1,-1
asproke01,1931,USA,NY,,180,72,R,R,1957-09-02,1963-06-21,asproke01,-1,-1
astrojo01,1922,USA,IL,2013,187,69,R,R,1945-08-13,1956-05-13,astrojo01,-1,-1
atkinga01,1979,USA,CA,,190,74,R,R,2003-08-03,2010-06-25,atkinga01,-1,-1
atwelto01,1924,USA,VA,2003,185,69,L,R,1952-04-15,1956-09-28,atwelto01,-1,-1
atwoobi01,1911,USA,GA,1993,190,71,R,R,1936-04-15,1940-09-29,atwoobi01,-1,-1
auerbri01,1950,USA,CA,,165,72,R,R,1971-04-13,1981-08-12,auerbri01,-1,-1
aurilri01,1971,USA,NY,,170,72,R,R,1995-09-06,2009-10-04,aurilri01,-1,0.0
ausmubr01,1969,USA,CT,,190,71,R,R,1993-07-28,2010-10-03,ausmubr01,-1,0.0
austiji01,1879,United Kingdom,Swansea,1965,155,67,B,R,1909-04-19,1929-10-06,austiji01,-1,0.0037593984962406013
averiea01,1902,USA,WA,1983,172,69,L,R,1929-04-16,1941-04-25,averiea01,1975,0.05263157894736842
averiea02,1931,USA,OH,2015,185,70,R,R,1956-04-19,1963-09-26,averiea02,-1,-1
avilaal01,1987,USA,FL,,210,71,L,R,2009-08-06,2017-10-01,avilaal01,-1,-1
avilabo01,1924,Mexico,Veracruz,2004,175,70,R,R,1949-04-30,1959-09-29,avilabo01,-1,-1
avilemi01,1981,USA,NY,,205,70,R,R,2008-05-29,2017-10-01,avilemi01,-1,-1
aybarer01,1984,D.R.,Peravia,,195,70,B,R,2006-05-16,2017-10-01,aybarer01,-1,-1
aybarwi01,1983,D.R.,Peravia,,205,71,B,R,2005-08-31,2010-10-03,aybarwi01,-1,-1
azcuejo01,1939,Cuba,Cienfuegos,,190,72,R,R,1960-08-03,1972-09-29,azcuejo01,-1,-1
babbch01,1873,USA,OR,1954,165,70,B,R,1903-04-17,1905-09-02,babbch01,-1,-1
backmwa01,1959,USA,OR,,160,69,B,R,1980-09-02,1993-05-14,backmwa01,-1,-1
baergca01,1968,P.R.,,,165,71,B,R,1990-04-14,2005-09-30,baergca01,-1,0.0
bagweje01,1968,USA,MA,,195,72,R,R,1991-04-08,2005-10-02,bagweje01,2017,0.8619909502262444
bailebo01,1942,USA,CA,,180,73,R,R,1962-09-14,1978-10-02,bailebo01,-1,0.0024813895781637717
baileed01,1931,USA,TN,2007,205,74,L,R,1953-09-26,1966-04-26,baileed01,-1,-1
bailema01,1961,USA,MO,,195,77,B,R,1984-04-27,1992-08-22,bailema01,-1,-1
bailobo01,1951,USA,PA,,170,71,R,R,1975-09-06,1985-10-06,bailobo01,-1,0.0
baineha01,1959,USA,MD,,175,74,L,L,1980-04-10,2001-09-27,baineha01,-1,0.061224489795918366
bairddo01,1891,USA,MO,1967,148,69,R,R,1915-04-17,1920-10-02,bairddo01,-1,-1
bakerdu01,1949,USA,CA,,183,74,R,R,1968-09-07,1986-10-04,bakerdu01,-1,0.009302325581395349
bakerfl01,1916,USA,VA,2004,160,69,L,R,1943-05-04,1955-05-04,bakerfl01,-1,-1
bakerfr01,1886,USA,MD,1963,173,71,L,R,1908-09-21,1922-09-29,bakerfr01,1955,0.30434782608695654
bakerge02,1925,USA,IA,1999,170,73,R,R,1953-09-20,1961-06-10,bakerge02,-1,-1
bakerje03,1981,Germany,Bavaria,,220,74,R,R,2005-04-04,2015-07-07,bakerje03,-1,-1
bakerjo01,1981,USA,CA,,215,73,L,R,2008-07-09,2014-09-28,bakerjo01,-1,-1
bakopa01,1972,USA,LA,,205,74,L,R,1998-04-30,2009-10-04,bakopa01,-1,-1
balbost01,1957,USA,MA,,225,75,R,R,1981-04-22,1993-10-02,balbost01,-1,-1
baldero01,1981,USA,RI,,190,76,R,R,2003-03-31,2010-10-03,baldero01,-1,-1
ballne01,1881,USA,MI,1957,145,67,R,R,1907-09-12,1913-06-30,ballne01,-1,-1
bancrda01,1891,USA,IA,1972,160,69,B,R,1915-04-14,1930-05-31,bancrda01,1971,0.16165413533834586
bandoch01,1956,USA,OH,,195,72,B,R,1981-08-13,1989-10-01,bandoch01,-1,-1
bandosa01,1944,USA,OH,,195,72,R,R,1966-09-03,1981-10-03,bandosa01,-1,0.007263922518159807
