andersc01,1962,OR,Corvallis,andersc01,Scott Anderson
andersp01,1934,SD,Bridgewater,andersp01,Sparky Anderson
anderti01,1993,AL,Tuscaloosa,anderti01,Tim Anderson
anderty01,1989,NV,Las Vegas,anderty01,Tyler Anderson
anderva01,1866,IL,Geneva,anderva01,Varney Anderson
anderwa01,1897,MI,Grand Rapids,anderwa01,Walter Anderson
anderwi01,1886,TX,Lillian,anderwi01,Wingo Anderson
andinro01,1984,FL,Miami,andinro01,Robert Andino
andrast01,1978,CA,Woodland,andrast01,Steve Andrade
andrecl01,1978,FL,Dunedin,andrecl01,Clayton Andrews
andreed01,1859,OH,Painesville,andreed01,Ed Andrews
andreel01,1901,SC,Greenwood,andreel01,Elbert Andrews
andreer01,1918,IN,Jeffersonville,andreer01,Ernie Andres
andrefr01,1952,LA,Lafayette,andrefr01,Fred Andrews
andrehu01,1922,OK,Burbank,andrehu01,Hub Andrews
andreiv01,1907,AL,Dora,andreiv01,Ivy Andrews
andreji01,1865,MA,Shelburne Falls,andreji01,Jim Andrews
andrejo01,1923,MA,Brockton,andrejo01,John Andre
andrejo02,1949,CA,Monterey Park,andrejo02,John Andrews
andreki01,1953,CA,Glendale,andreki01,Kim Andrew
andremi01,1943,CA,Los Angeles,andremi01,Mike Andrews
andrena01,1913,NC,Pembroke,andrena01,Nate Andrews
andrero01,1952,CA,Santa Monica,andrero01,Rob Andrews
andresh01,1971,TX,Dallas,andresh01,Shane Andrews
andrest01,1917,MA,Lynn,andrest01,Stan Andrews
andrewa01,1859,PA,Philadelphia,andrewa01,Wally Andrews
andrima01,1989,CA,Redlands,andrima01,Matt Andriese
andrubi01,1907,TX,Beaumont,andrubi01,Bill Andrus
andrufr01,1850,MI,Washington,andrufr01,Fred Andrus
angelno01,1947,CA,San Francisco,angelno01,Norm Angelini
anglema01,1985,OH,Columbus,anglema01,Matt Angle
angleto01,1904,MD,Baltimore,angleto01,Tom Angley
ankenpa01,1912,TX,Houston,ankenpa01,Pat Ankenman
ankieri01,1979,FL,Fort Pierce,ankieri01,Rick Ankiel
annade01,1986,IL,Glenwood,annade01,Dean Anna
annisbi01,1857,MA,Stoneham,annisbi01,Bill Annis
ansonca01,1852,IA,Marshalltown,ansonca01,Cap Anson
anthoer01,1967,CA,San Diego,anthoer01,Eric Anthony
antoldu01,1989,HI,Mililani,antoldu01,Dustin Antolin
antoljo01,1916,PA,Hokendauqua,antoljo01,Joe Antolick
antonbi01,1927,NY,Brooklyn,antonbi01,Bill Antonello
antonjo01,1915,TN,Memphis,antonjo01,John Antonelli
antonjo02,1930,NY,Rochester,antonjo02,Johnny Antonelli
antonma01,1985,MA,Peabody,antonma01,Matt Antonelli
apodabo01,1950,CA,Los Angeles,apodabo01,Bob Apodaca
appieke01,1967,CA,Lancaster,appieke01,Kevin Appier
appleed01,1892,TX,Arlington,appleed01,Ed Appleton
applefr01,1879,PA,Williamsport,applefr01,Fred Applegate
applepe01,1904,CT,Terryville,applepe01,Pete Appleton
applilu01,1907,NC,High Point,applilu01,Luke Appling
archdma01,1898,MO,St. Louis,archdma01,Maurice Archdeacon
archech01,1988,NC,Raleigh,archech01,Chris Archer
archefr01,1910,TN,Johnson City,archefr01,Fred Archer
archeji02,1932,VA,Max Meadows,archeji02,Jim Archer
archige01,1914,TN,Nashville,archige01,George Archie
ardelda01,1941,WA,Seattle,ardelda01,Dan Ardell
ardnejo01,1858,OH,Mount Vernon,ardnejo01,Joe Ardner
ardoida01,1974,LA,Mamou,ardoida01,Danny Ardoin
arellfr01,1882,CA,Santa Cruz,arellfr01,Frank Arellanes
arenano01,1991,CA,Newport Beach,arenano01,Nolan Arenado
arencjp01,1986,FL,Miami,arencjp01,J. P. Arencibia
arftha01,1922,MO,Manchester,arftha01,Hank Arft
ariasal01,1967,NY,New York,ariasal01,Alex Arias
ariasge01,1972,AZ,Tucson,ariasge01,George Arias
arletbu01,1899,CA,Elmhurst,arletbu01,Buzz Arlett
arlicdo01,1943,MI,Wayne,arlicdo01,Don Arlich
arlinst01,1945,WA,Seattle,arlinst01,Steve Arlin
armbrch01,1880,OH,Cincinnati,armbrch01,Charlie Armbruster
armbrha01,1882,OH,Liverpool,armbrha01,Harry Armbruster
armbror01,1908,AR,Beirne,armbror01,Orville Armbrust
armoubi99,1869,PA,Homestead,armoubi99,Bill Armour
armstbo01,1850,MD,Baltimore,armstsa01,Robert Armstrong
armstge01,1924,NJ,Orange,armstge01,George Armstrong
armstho01,1889,OH,East Claridon,armstho01,Howard Armstrong
armstja01,1965,NJ,Englewood,armstja01,Jack Armstrong
armstmi01,1954,NY,Glen Cove,armstmi01,Mike Armstrong
