154,183,"Sat, Nov 11",64,43
152,154,"Sat, Nov 18",,
150,154,"Sat, Nov 25",,
103,2459,"Fri, Sept 1",23,20
154,103,"Sat, Sept 9",34,10
87,103,"Sat, Sept 16",49,20
103,228,"Sat, Sept 23",7,34
2117,103,"Sat, Sept 30",8,28
259,103,"Sat, Oct 7",23,10
103,97,"Sat, Oct 14",45,42
103,258,"Sat, Oct 21",41,10
52,103,"Fri, Oct 27",3,35
152,103,"Sat, Nov 11",17,14
103,183,"Sat, Nov 25",,
2509,97,"Sat, Sept 2",28,35
97,153,"Sat, Sept 9",47,35
228,97,"Sat, Sept 16",47,21
2309,97,"Sat, Sept 23",3,42
93,97,"Sat, Sept 30",10,55
97,152,"Thu, Oct 5",25,39
103,97,"Sat, Oct 14",45,42
97,52,"Sat, Oct 21",31,28
97,154,"Sat, Oct 28",32,42
258,97,"Sat, Nov 11",21,38
183,97,"Sat, Nov 18",,
97,96,"Sat, Nov 25",,
333,52,"Sat, Sept 2",24,7
152,52,"Sat, Sept 23",27,21
52,154,"Sat, Sept 30",26,19
2390,52,"Sat, Oct 7",24,20
52,150,"Sat, Oct 14",17,10
97,52,"Sat, Oct 21",31,28
52,103,"Fri, Oct 27",3,35
183,52,"Sat, Nov 4",24,27
52,228,"Sat, Nov 11",14,31
2169,52,"Sat, Nov 18",,
52,57,"Sat, Nov 25",,
2115,183,"Fri, Sept 1",7,50
2393,183,"Sat, Sept 9",30,23
2117,183,"Sat, Sept 16",17,41
183,99,"Sat, Sept 23",26,35
183,152,"Sat, Sept 30",25,33
221,183,"Sat, Oct 7",24,27
228,183,"Fri, Oct 13",24,27
183,2390,"Sat, Oct 21",19,27
183,52,"Sat, Nov 4",24,27
154,183,"Sat, Nov 11",64,43
183,97,"Sat, Nov 18",,
103,183,"Sat, Nov 25",,
2065,2390,"Sat, Sept 2",13,41
2649,2390,"Sat, Sept 23",30,52
2390,150,"Fri, Sept 29",31,6
2390,52,"Sat, Oct 7",24,20
59,2390,"Sat, Oct 14",24,25
183,2390,"Sat, Oct 21",19,27
2390,153,"Sat, Oct 28",24,19
259,2390,"Sat, Nov 4",10,28
87,2390,"Sat, Nov 11",8,41
258,2390,"Sat, Nov 18",,
2390,221,"Fri, Nov 24",,
