dave-southorn,alabama,florida-state,usc,ohio-state,clemson,washington,penn-state,oklahoma,oklahoma-state,michigan,wisconsin,lsu,stanford,auburn,georgia,louisville,west-virginia,virginia-tech,miami-fl,washington-state,florida,south-florida,tennessee,kansas-state,north-carolina-state
david-briggs,alabama,ohio-state,usc,florida-state,penn-state,clemson,oklahoma,washington,wisconsin,michigan,lsu,auburn,georgia,oklahoma-state,stanford,louisville,miami-fl,texas,florida,south-florida,kansas-state,washington-state,pittsburgh,west-virginia,tennessee
ed-daigneault,alabama,florida-state,clemson,ohio-state,usc,washington,penn-state,oklahoma,michigan,wisconsin,auburn,georgia,lsu,louisville,florida,oklahoma-state,south-florida,stanford,miami-fl,kansas-state,west-virginia,utah,tennessee,texas,pittsburgh
eric-hansen,ohio-state,alabama,clemson,usc,auburn,florida-state,penn-state,washington,oklahoma,stanford,wisconsin,lsu,miami-fl,louisville,michigan,oklahoma-state,virginia-tech,utah,georgia,south-florida,notre-dame,tennessee,washington-state,san-diego-state,appalachian-state
garland-gillen,alabama,florida-state,ohio-state,usc,penn-state,oklahoma,washington,clemson,michigan,wisconsin,florida,lsu,auburn,oklahoma-state,louisville,georgia,miami-fl,stanford,west-virginia,virginia-tech,kansas-state,colorado,utah,washington-state,texas
gary-horowitz,alabama,usc,florida-state,clemson,ohio-state,penn-state,washington,oklahoma,oklahoma-state,georgia,wisconsin,louisville,michigan,stanford,south-florida,auburn,miami-fl,lsu,virginia-tech,florida,tennessee,boise-state,west-virginia,washington-state,kansas-state
grace-raynor,alabama,florida-state,ohio-state,usc,clemson,penn-state,oklahoma,washington,oklahoma-state,auburn,michigan,wisconsin,stanford,miami-fl,georgia,louisville,lsu,florida,south-florida,kansas-state,west-virginia,utah,virginia-tech,washington-state,tcu
jason-butt,alabama,florida-state,ohio-state,clemson,usc,penn-state,washington,oklahoma,michigan,auburn,lsu,oklahoma-state,wisconsin,georgia,louisville,florida,stanford,miami-fl,kansas-state,virginia-tech,utah,west-virginia,colorado,washington-state,boise-state
jason-galloway,alabama,ohio-state,florida-state,oklahoma,penn-state,usc,washington,clemson,wisconsin,stanford,oklahoma-state,louisville,lsu,florida,auburn,michigan,south-florida,georgia,kansas-state,miami-fl,washington-state,virginia-tech,tcu,notre-dame,tennessee
jeff-miller,alabama,florida-state,clemson,usc,ohio-state,michigan,oklahoma,penn-state,washington,oklahoma-state,auburn,wisconsin,miami-fl,florida,georgia,lsu,west-virginia,virginia-tech,stanford,boise-state,louisville,utah,kansas-state,tcu,colorado
jerry-dipaola,alabama,ohio-state,usc,penn-state,oklahoma,florida-state,washington,clemson,michigan,lsu,georgia,oklahoma-state,auburn,louisville,stanford,wisconsin,florida,texas,miami-fl,kansas-state,tennessee,washington-state,virginia-tech,west-virginia,south-florida
john-adams,alabama,ohio-state,auburn,usc,penn-state,florida-state,oklahoma,oklahoma-state,clemson,washington,wisconsin,south-florida,kansas-state,florida,michigan,stanford,louisville,georgia,lsu,boise-state,utah,texas,virginia-tech,tennessee,washington-state
john-clay,alabama,usc,penn-state,ohio-state,florida-state,clemson,washington,oklahoma,wisconsin,oklahoma-state,michigan,auburn,stanford,florida,miami-fl,lsu,georgia,louisville,notre-dame,south-florida,kansas-state,virginia-tech,washington-state,west-virginia,tcu
jon-wilner,florida-state,alabama,ohio-state,washington,wisconsin,georgia,usc,penn-state,texas,auburn,oklahoma,clemson,south-florida,stanford,oklahoma-state,michigan,louisville,miami-fl,lsu,ucla,tcu,florida,washington-state,virginia-tech,michigan-state
jonny-miller,florida-state,ohio-state,alabama,usc,oklahoma,clemson,lsu,michigan,washington,penn-state,oklahoma-state,wisconsin,louisville,auburn,stanford,virginia-tech,florida,miami-fl,georgia,west-virginia,northwestern,boise-state,south-florida,kansas-state,texas
keith-sargeant,alabama,ohio-state,usc,florida-state,clemson,penn-state,washington,oklahoma,wisconsin,michigan,georgia,lsu,stanford,louisville,auburn,oklahoma-state,florida,west-virginia,miami-fl,kansas-state,tennessee,south-florida,virginia-tech,texas,washington-state
kellis-robinett,alabama,florida-state,usc,oklahoma,ohio-state,washington,clemson,penn-state,auburn,oklahoma-state,louisville,michigan,wisconsin,lsu,stanford,georgia,kansas-state,miami-fl,florida,west-virginia,virginia-tech,washington-state,boise-state,utah,south-florida
kirk-bohls,florida-state,alabama,penn-state,ohio-state,usc,wisconsin,oklahoma-state,washington,clemson,south-florida,oklahoma,auburn,lsu,stanford,georgia,kansas-state,florida,michigan,miami-fl,texas,louisville,washington-state,houston,tcu,san-diego-state
lauren-brownlow,alabama,usc,ohio-state,florida-state,washington,penn-state,clemson,oklahoma,wisconsin,lsu,michigan,oklahoma-state,auburn,georgia,louisville,miami-fl,stanford,washington-state,south-florida,florida,texas,boise-state,west-virginia,kansas-state,north-carolina-state
lauren-shute,alabama,ohio-state,florida-state,clemson,penn-state,usc,washington,oklahoma,michigan,wisconsin,auburn,oklahoma-state,stanford,georgia,louisville,florida,lsu,miami-fl,kansas-state,west-virginia,virginia-tech,south-florida,texas,tennessee,utah
marc-weiszer,alabama,florida-state,ohio-state,usc,penn-state,washington,clemson,oklahoma,michigan,oklahoma-state,wisconsin,auburn,lsu,stanford,florida,georgia,louisville,miami-fl,south-florida,virginia-tech,west-virginia,kansas-state,utah,tennessee,washington-state
matt-baker,alabama,florida-state,ohio-state,usc,oklahoma,clemson,washington,penn-state,auburn,oklahoma-state,wisconsin,lsu,louisville,stanford,georgia,michigan,florida,miami-fl,south-florida,texas,tennessee,tcu,kansas-state,washington-state,virginia-tech
matt-brown,alabama,usc,ohio-state,oklahoma,florida-state,penn-state,washington,auburn,clemson,miami-fl,oklahoma-state,louisville,stanford,wisconsin,lsu,georgia,florida,michigan,kansas-state,notre-dame,virginia-tech,texas,houston,south-florida,northwestern
matt-charboneau,alabama,florida-state,ohio-state,clemson,penn-state,oklahoma,usc,washington,oklahoma-state,wisconsin,lsu,stanford,michigan,florida,auburn,georgia,louisville,kansas-state,miami-fl,tcu,west-virginia,virginia-tech,south-florida,washington-state,boise-state
