spring-arbor,eastern-mich,60,92,2017,11,10,"Convocation Center (MI), Ypsilanti, MI"
long-beach-st,san-francisco,83,71,2017,11,10,"War Memorial Gymnasium, San Francisco, CA"
uc-riverside,california,74,66,2017,11,10,"Haas Pavilion, Berkeley, CA"
coppin-st,oregon,54,70,2017,11,10,"Matthew Knight Arena, Eugene, OR"
trevecca-nazarene,middle-tenn,52,104,2017,11,10,"Murphy Athletic Center, Murfreesboro, TN"
webber-intl,stetson,89,98,2017,11,10,"Edmunds Center, DeLand, FL"
ark-pine-bluff,hawaii,70,82,2017,11,10,"Stan Sheriff Center, Honolulu, HI"
utah-valley,duke,69,99,2017,11,11,"Cameron Indoor Stadium, Durham, NC"
notre-dame,depaul,72,58,2017,11,11,"Wintrust Arena, Chicago, IL"
saint-francis-pa,st-marys-ca,68,85,2017,11,11,"McKeon Pavilion, Moraga, CA"
canisius,buffalo,75,80,2017,11,11,"Alumni Arena, Buffalo, NY"
illinois-st,fgcu,87,98,2017,11,11,"Alico Arena, Fort Myers, FL"
penn,fairfield,72,80,2017,11,11,"Webster Bank Arena, Bridgeport, CT"
iupui,bradley,53,68,2017,11,11,"Carver Arena, Peoria, IL"
alabama-am,ohio,53,61,2017,11,11,"Convocation Center Ohio, Athens, OH"
siena-heights,western-mich,72,103,2017,11,11,"University Arena, Kalamazoo, MI"
dartmouth,quinnipiac,77,78,2017,11,11,"TD Bank Sports Center, Hamden, CT"
saint-peters,la-salle,40,61,2017,11,11,"Tom Gola Arena, Philadelphia, PA"
coe,drake,54,101,2017,11,11,"Knapp Center, Des Moines, IA"
johnson-wales-ri,brown,78,106,2017,11,11,"Paul Bailey Pizzitola Sports Center, Providence, RI"
stephen-f-austin,longwood,74,61,2017,11,11,"Willett Hall, Portsmouth, VA"
toccoa-falls,appalachian-st,34,135,2017,11,11,"George M. Holmes Convocation Center, Boone, NC"
ouachita-baptist,ualr,81,79,2017,11,11,"Jack Stephens Center, Little Rock, AR"
