graham-couch,duke,michigan-state,villanova,oklahoma,arizona-state,west-virginia,arizona,miami-fl,kansas,north-carolina,wichita-state,florida-state,texas-am,gonzaga,xavier,texas,seton-hall,cincinnati,virginia,tennessee,purdue,notre-dame,arkansas,nevada,clemson
jp-butler,duke,michigan-state,arizona-state,villanova,west-virginia,virginia,xavier,oklahoma,tcu,north-carolina,kansas,wichita-state,texas-am,purdue,kentucky,miami-fl,arizona,tennessee,florida-state,seton-hall,texas-tech,gonzaga,cincinnati,arkansas,st-bonaventure
jason-butt,michigan-state,arizona-state,villanova,duke,west-virginia,xavier,oklahoma,virginia,tcu,kentucky,wichita-state,texas-am,purdue,arizona,kansas,miami-fl,north-carolina,tennessee,texas-tech,florida-state,gonzaga,arkansas,seton-hall,cincinnati,baylor
jerry-carino,michigan-state,villanova,duke,arizona-state,xavier,west-virginia,wichita-state,virginia,arizona,kansas,oklahoma,tcu,texas-am,north-carolina,purdue,miami-fl,kentucky,gonzaga,cincinnati,seton-hall,texas-tech,arkansas,tennessee,florida-state,baylor
jesse-newell,michigan-state,villanova,duke,purdue,virginia,north-carolina,kansas,west-virginia,xavier,cincinnati,wichita-state,texas-tech,arizona,arizona-state,texas-am,gonzaga,miami-fl,kentucky,oklahoma,arkansas,seton-hall,clemson,florida-state,tcu,tennessee
joe-juliano,michigan-state,duke,villanova,west-virginia,arizona-state,oklahoma,wichita-state,xavier,virginia,purdue,texas-am,kansas,tcu,arizona,kentucky,north-carolina,miami-fl,cincinnati,texas-tech,gonzaga,seton-hall,arkansas,tennessee,notre-dame,butler
joe-rexrode,michigan-state,duke,arizona-state,west-virginia,villanova,xavier,oklahoma,wichita-state,tcu,north-carolina,texas-am,purdue,miami-fl,kansas,kentucky,arizona,virginia,cincinnati,texas-tech,arkansas,tennessee,auburn,florida-state,gonzaga,seton-hall
joey-knight,duke,michigan-state,villanova,xavier,wichita-state,north-carolina,west-virginia,arizona-state,kansas,purdue,miami-fl,oklahoma,virginia,kentucky,arizona,texas-tech,gonzaga,seton-hall,texas-am,tcu,cincinnati,clemson,arkansas,baylor,ucla
john-bohnenkamp,duke,michigan-state,arizona-state,villanova,west-virginia,xavier,virginia,oklahoma,tcu,wichita-state,texas-am,kentucky,miami-fl,north-carolina,kansas,purdue,arizona,texas-tech,arkansas,tennessee,gonzaga,baylor,cincinnati,seton-hall,creighton
john-feinstein,michigan-state,duke,villanova,xavier,arizona-state,kentucky,west-virginia,oklahoma,arizona,wichita-state,kansas,virginia,purdue,north-carolina,miami-fl,gonzaga,tcu,cincinnati,texas-am,seton-hall,texas-tech,arkansas,tennessee,st-bonaventure,new-mexico-state
