John Johnson,1947,MS,Carthage
Sam Lacey,1948,MS,Indianaola
Bob Lanier*,1948,NY,Buffalo
Pete Maravich*,1947,PA,Aliquippa
Eddie Mast,1948,PA,Philadelphia
Jim McMillian,1948,NC,Raeford
Rex Morgan,1948,IL,Charleston
Calvin Murphy*,1948,CT,Norwalk
Curtis Perry,1948,DC,Washington
Geoff Petrie,1948,PA,Darby
Mike Price,1948,KY,Russellville
Paul Ruffner,1948,CA,Downey
Mike Silliman,1944,KY,Louisville
Garfield Smith,1945,KY,Campbellsville
Fred Taylor,1948,TX,Houston
Joe Thomas,1948,GA,Canton
Rudy Tomjanovich,1948,MI,Hamtramck
Cornell Warner,1948,MS,Jackson
Milt Williams,1945,WA,Seattle
Fred Brown,1948,WI,Milwaukee
Austin Carr,1948,DC,Washington
Phil Chenier,1950,CA,Berkeley
Jim Cleamons,1949,NC,Lincolnton
Charlie Davis,1949,NY,New York
Ken Durrett,1948,PA,Pittsburgh
Dick Gibbs,1948,IA,Ames
Clarence Glover,1947,KY,Horse Cave
Mo Layton,1948,NJ,Newark
Stan Love,1949,CA,Los Angeles
Jim McDaniels,1948,KY,Scottsville
Kenny McIntosh,1949,MI,Detroit
Cliff Meely,1947,MS,Rosedale
Dean Meminger,1948,SC,Walterboro
John Mengelt,1949,WI,Lacrosse
Mike Newlin,1949,OR,Portland
Willie Norwood,1947,MS,Carrolton
Howard Porter,1948,FL,Stuart
Clifford Ray,1949,SC,Union
Jackie Ridgle,1948,AR,Altheimer
Charlie Scott,1948,NY,New York
Elmore Smith,1949,GA,Macon
Randy Smith,1948,NY,Bellport
Larry Steele,1949,IN,Greencastle
Nate Williams,1950,LA,Columbia
Isaiah Wilson,1948,PA,Philadelphia
Dave Wohl,1949,NY,Flushing
Freddie Boyd,1950,CA,Bakersfield
Steve Bracey,1950,NY,Brooklyn
John Brisker,1947,MI,Detroit
Roger Brown,1942,NY,Brooklyn
Corky Calhoun,1950,IL,Waukegan
Dwight Davis,1949,TX,Houston
Mickey Davis,1946,NY,Brooklyn
Charles Dudley,1950,PA,Harrisburg
Scott English,1950,IL,Evanston
Chris Ford,1949,NJ,Atlantic City
Rowland Garrett,1950,MS,Canton
John Gianelli,1950,CA,Stockton
Travis Grant,1950,AL,Clayton
Luther Green,1946,NY,New York
Charles Johnson,1949,TX,Corpus Christi
Ollie Johnson,1949,PA,Philadelphia
Manny Leaks,1945,OH,Cleveland
Russ Lee,1950,MA,Boston
LaRue Martin,1950,IL,Chicago
Bob McAdoo*,1951,NC,Greensboro
Paul McCracken," Northridge""",NY,1950
Bob Nash,1950,CT,Hartford
Lloyd Neal,1950,GA,Talbottom
Kevin Porter,1950,IL,Chicago
Jim Price,1949,KY,Russellville
Mike Ratliff,1951,MS,New Albany
Tom Riker,1950,NY,Rockville Centre
Ron Riley,1950,CA,Los Angeles
Frank Schade,1950,WI,Wausau
Bud Stallworth,1950,AL,Hartselle
Paul Westphal,1950,CA,Torrance
Harthorne Wingo,1947,NC,Tryon
Mike Bantom,1951,PA,Philadelphia
Ron Behagen,1951,NY,New York
Dennis Bell,1951,OH,Cincinnati
Jim Brewer,1951,IL,Maywood
Allan Bristow,1951,VA,Richmond
Larry Cannon,1947,PA,Philadelphia
Doug Collins,1951,IL,Christopher
Mike D'Antoni,1951,WV,Mullens
Mel Davis,1950,NY,New York
Derrek Dickey,1951,OH,Cincinnati
Ernie DiGregorio,1951,RI,North Providence
Steve Downing,1950,IN,Indianapolis
Bernie Fryer,1949,WA,Bellingham
Phil Hankinson,1951,GA,Augusta
Nate Hawthorne,1950,IL,Mt. Vernon
Tom Ingelsby,1951,PA,Philadelphia
Dwight Jones,1952,TX,Houston
Tom Kozelko,1951,MI,Traverse City
Kevin Kunnert,1951,IA,Dubuque
Allie McGuire,1928,NY,New York
Larry McNeill,1951,NC,Hoke
Gary Melchionni,1951,NJ,Camden
Louie Nelson,1951,CA,Los Angeles
Jim Owens,1950,CA,Los Angeles
Bob Verga,1945,NJ,Neptune
Kermit Washington,1951,DC,Washington
Slick Watts,1951,MS,Rolling Ford
Nick Weatherspoon,1950,MS,Greenwood
Luke Witte,1950,PA,Philadelphia
Dan Anderson,1943,MN,Minneapolis
Jim Ard,1948,IL,Harvey
