Brandon Allen
Chad Allen,MIN,MIN
Cody Allen,CLE,CLE,CLE,CLE,CLE
Dick Allen,PHI,PHI,PHI,PHI,PHI,PHI,SLN,LAN,CHA,CHA,CHA,PHI,PHI,OAK
Dusty Allen
Ethan Allen,CIN,CIN,CIN,NY1,NY1,NY1,SLN,PHI,PHI,PHI,CHN,SLA
Frank Allen,BRO,BRO,BRO,BSN,BSN
Gary Allenson,BOS,BOS,BOS,BOS
Greg Allen
Ham Allen
Hank Allen,WS2,WS2,WS2
Hezekiah Allen
Horace Allen
Jack Allen
Jamie Allen
Jermaine Allensworth,PIT,PIT,PIT
John Allen
Johnny Allen,NYA,NYA,NYA,NYA,CLE,CLE,CLE,CLE,CLE,SLA,BRO,BRO,BRO,NY1,NY1
Kim Allen
Lloyd Allen,CAL,CAL,CAL,TEX,TEX
Luke Allen
Myron Allen
Neil Allen,NYN,NYN,NYN,NYN,NYN,SLN,SLN,SLN,NYA,CHA,CHA,NYA,NYA
Nick Allen,CIN
Pete Allen
Ron Allen
Rod Allen
Sled Allen
Gene Alley,PIT,PIT,PIT,PIT,PIT,PIT,PIT,PIT,PIT,PIT
Bob Allietta
Gair Allie
Andy Allison
Art Allison
Bill Allison
Bob Allison,WS1,WS1,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
Dana Allison
Doug Allison
Mack Allison,SLA,SLA,SLA
Milo Allison
Beau Allred
Mel Almada,BOS,BOS,BOS,WS1,WS1,SLA,SLA,BRO
Armando Almanza,FLO,FLO,FLO,FLO
Carlos Almanzar,TOR,SDN,SDN,TEX
Rafael Almeida
Abraham Almonte,SEA,SDN,CLE,CLE
Bill Almon,SDN,SDN,SDN,NYN,CHA,CHA,OAK,OAK,PIT,PIT
Edwin Almonte
Erick Almonte
Hector Almonte
Miguel Almonte
Zoilo Almonte
Albert Almora
Luis Aloma,CHA,CHA,CHA,CHA
Roberto Alomar,SDN,SDN,SDN,TOR,TOR,TOR,TOR,TOR,BAL,BAL,BAL,CLE,CLE,CLE,NYN,NYN,CHA,ARI
Sandy Alomar,ML1,CHA,CAL,CAL,CAL,CAL,CAL,NYA,NYA,NYA
Sandy Alomar,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CHA,CHA,COL,CHA,CHA,TEX
Yonder Alonso,SDN,SDN,SDN,SDN,OAK
Felipe Alou,SFN,SFN,SFN,SFN,SFN,SFN,ML1,ML1,ATL,ATL,ATL,ATL,OAK,NYA,NYA,NYA
Jesus Alou,SFN,SFN,SFN,SFN,SFN,HOU,HOU,HOU,HOU,OAK,OAK,NYN,HOU
Matty Alou,SFN,SFN,SFN,SFN,PIT,PIT,PIT,PIT,PIT,SLN,SLN,OAK,NYA
Moises Alou,MON,MON,MON,MON,MON,FLO,HOU,HOU,HOU,CHN,CHN,CHN,SFN,SFN,NYN
Whitey Alpermann,BRO,BRO,BRO,BRO
Dell Alston
Garvin Alston
Tom Alston
Walter Alston
Porfi Altamirano
Dan Altavilla
Ernie Alten
Jesse Altenburg
Aaron Altherr
Dave Altizer,WS1,WS1,WS1,CHA
George Altman,CHN,CHN,CHN,CHN,SLN,NYN,CHN,CHN
Joe Altobelli
Nick Altrock,CHA,CHA,CHA,CHA,CHA,CHA,CHA,WS1,WS1
Jose Altuve,HOU,HOU,HOU,HOU,HOU,HOU
George Alusik,KC1,KC1,KC1
Abe Alvarez
Clemente Alvarez
Dario Alvarez
Dariel Alvarez
Gabe Alvarez
Henderson Alvarez,TOR,TOR,MIA,MIA,MIA
Jose Alvarez,ATL,ATL
Jose Alvarez,DET,LAA,LAA
Jose Alvarado
Juan Alvarez
Luis Alvarado,BOS,CHA,CHA,CHA,CLE
Orlando Alvarez
Ossie Alvarez
Pedro Alvarez,PIT,PIT,PIT,PIT,PIT,PIT,BAL
R. J. Alvarez
Rogelio Alvarez
Tavo Alvarez
Tony Alvarez
Victor Alvarez
Wilson Alvarez,CHA,CHA,CHA,CHA,CHA,CHA,CHA,SFN,TBA,TBA,TBA,LAN,LAN,LAN
Max Alvis,CLE,CLE,CLE,CLE,CLE,CLE,CLE,ML4
Billy Alvord
Brant Alyea,WS2,WS2,MIN,MIN
Joey Amalfitano,SFN,SFN,HOU,SFN,CHN,CHN
Rich Amaral,SEA,SEA,SEA,SEA,SEA,SEA,SEA,BAL
Alexi Amarista,SDN,SDN,SDN,SDN,SDN
Ruben Amaro,PHI,PHI,PHI,PHI,PHI,PHI,NYA
Ruben Amaro,PHI,PHI,PHI,PHI
Wayne Ambler,PHA,PHA,PHA
Chip Ambres
Hector Ambriz
Ed Amelung
Red Ames,NY1,NY1,NY1,NY1,NY1,NY1,NY1,NY1,NY1,NY1,NY1,CIN,CIN,CIN,SLN,SLN,SLN,SLN,SLN
Steve Ames
Alfredo Amezaga,ANA,FLO,FLO,FLO
Doc Amole
Sandy Amoros,BRO,BRO,BRO,BRO
Vicente Amor
Walter Ancker
Alf Anderson
Allan Anderson,MIN,MIN,MIN,MIN,MIN
Andy Anderson
Bill Anderson
Bob Anderson,CHN,CHN,CHN,CHN,CHN,DET
Brady Anderson,BOS,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,CLE
Brian Anderson,CAL,CAL,CLE,CLE,ARI,ARI,ARI,ARI,ARI,CLE,KCA,KCA,KCA
Brian Anderson,CHA,CHA,CHA
Brett Anderson,OAK,OAK,OAK,OAK,OAK,COL,LAN
Bryan Anderson
Brian Anderson
Bud Anderson,CLE,CLE
Chase Anderson,ARI,ARI,MIL
Cody Anderson,CLE,CLE
Craig Anderson,SLN,NYN
Dave Anderson
Dave Anderson,LAN,LAN,LAN,LAN,LAN,LAN,LAN,SFN,SFN
Drew Anderson
Drew Anderson
Dwain Anderson
Ferrell Anderson
Fred Anderson,BOS,NY1,NY1,NY1
Garret Anderson,CAL,CAL,ANA,ANA,ANA,ANA,ANA,ANA,ANA,ANA,LAA,LAA,LAA,LAA,ATL,LAN
George Anderson,SLN
Goat Anderson
Hal Anderson
Harry Anderson,PHI,PHI,PHI,PHI
Jason Anderson
Jim Anderson,CAL,CAL,SEA,SEA,TEX
Jimmy Anderson,PIT,PIT,PIT,PIT,CIN
John Anderson,MLA,SLA,SLA,NYA,NYA,WS1,WS1,WS1,CHA
John Anderson
Josh Anderson,ATL,DET,KCA
Kent Anderson
Larry Anderson
Larry Andersen,SEA,SEA,PHI,PHI,PHI,HOU,HOU,HOU,HOU,HOU,SDN,SDN,PHI,PHI
Lars Anderson
Matt Anderson,DET,DET,DET,DET,DET
Marlon Anderson,PHI,PHI,PHI,PHI,TBA,SLN,NYN,WAS,NYN
Mike Anderson,PHI,PHI,PHI,PHI,PHI,SLN,SLN
Mike Anderson
Red Anderson,WS1
Rick Anderson
Rick Anderson
Scott Anderson
Sparky Anderson,PHI
Tim Anderson
Tyler Anderson
Varney Anderson
Walter Anderson
Wingo Anderson
Robert Andino,BAL,BAL,BAL
Steve Andrade
Clayton Andrews
Ed Andrews
Elbert Andrews
Ernie Andres
Fred Andrews
Hub Andrews
Ivy Andrews,NYA,NYA,BOS,BOS,SLA,SLA,SLA,CLE,NYA,NYA
Jim Andrews
John Andre
John Andrews
Kim Andrew
Mike Andrews,BOS,BOS,BOS,BOS,CHA,CHA,CHA
Nate Andrews,BSN,BSN,BSN,CIN
Rob Andrews,HOU,HOU,SFN,SFN,SFN
Shane Andrews,MON,MON,MON,MON,CHN
Stan Andrews
Wally Andrews
Matt Andriese,TBA,TBA
Bill Andrus
Elvis Andrus,TEX,TEX,TEX,TEX,TEX,TEX,TEX,TEX
Fred Andrus
Wyman Andrus
Joaquin Andujar,HOU,HOU,HOU,HOU,HOU,HOU,SLN,SLN,SLN,SLN,SLN,OAK,OAK,HOU
Luis Andujar,CHA,CHA,TOR
Miguel Andujar
Norm Angelini
Matt Angle
Tom Angley
Pat Ankenman
Rick Ankiel,SLN,SLN,SLN,KCA,ATL,WAS,WAS,SLN,SLN,SLN
Dean Anna
Bill Annis
Cap Anson
Eric Anthony,HOU,HOU,HOU,HOU,SEA,CIN,CIN
Dustin Antolin
Joe Antolick
Bill Antonello
John Antonelli,PHI
Johnny Antonelli,NY1,SFN,BSN,BSN,ML1,NY1,NY1,NY1,NY1,SFN,SFN,SFN,CLE
Matt Antonelli
Nori Aoki,MIL,MIL,KCA,SFN,SEA
Luis Aparicio,CHA,CHA,CHA,CHA,CHA,CHA,CHA,BAL,BAL,BAL,BAL,BAL,CHA,CHA,CHA,BOS,BOS,BOS
Bob Apodaca,NYN,NYN,NYN,NYN
Luis Aponte,BOS,BOS,CLE
Kevin Appier,KCA,KCA,KCA,KCA,KCA,KCA,KCA,KCA,KCA,KCA,OAK,OAK,NYN,ANA,ANA
Ed Appleton,BRO,BRO
Fred Applegate
Pete Appleton,CIN,CIN,CLE,CLE,BOS,WS1,WS1,WS1,WS1,CHA,CHA,SLA
Luke Appling,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA
Greg Aquino,ARI,ARI,ARI
Jayson Aquino
Luis Aquino,KCA,KCA,KCA,KCA,KCA,FLO,FLO,MON
Angel Aragon
Jack Aragon
Victor Arano
Elvis Araujo
Maurice Archdeacon
Chris Archer,TBA,TBA,TBA,TBA,TBA
Fred Archer
Jimmy Archer,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
Jim Archer,KC1,KC1
George Archie
Jose Arcia,SDN,SDN
Orlando Arcia
Oswaldo Arcia,MIN,MIN,MIN
Dan Ardell
Rugger Ardizoia
Joe Ardner
Danny Ardoin
Frank Arellanes,BOS,BOS,BOS
Nolan Arenado,COL,COL,COL,COL
J. P. Arencibia,TOR,TOR,TOR,TEX
Hank Arft,SLA,SLA,SLA
Alex Arias,CHN,FLO,FLO,FLO,FLO,FLO,PHI,PHI,PHI,SDN
Alberto Arias
George Arias,CAL,SDN
Joaquin Arias,TEX,TEX,SFN,SFN,SFN
Rudy Arias
Buzz Arlett
Don Arlich
Steve Arlin,SDN,SDN,SDN,SDN,CLE
Marcos Armas
Tony Armas,OAK,OAK,OAK,OAK,OAK,OAK,BOS,BOS,BOS,BOS,CAL,CAL
Tony Armas,MON,MON,MON,MON,MON,WAS,WAS,PIT
Charlie Armbruster
Ed Armbrister
Harry Armbruster
Orville Armbrust
Bill Armour
Robert Armstrong
George Armstrong
Howard Armstrong
Jack Armstrong,CIN,CIN,CIN,CIN,CLE,FLO
Mike Armstrong,KCA,KCA,NYA
Shawn Armstrong
Harry Arndt,BLA,SLN,SLN
Larry Arndt
Billy Arnold
Chris Arnold
Jamie Arnold
Scott Arnold
Tony Arnold
Morrie Arnovich,PHI,PHI,PHI,PHI,CIN,NY1
Brad Arnsberg,TEX,TEX
Orie Arntzen,PHA
Rene Arocha,SLN,SLN,SLN
Jonathan Aro
Jose Arredondo,LAA,LAA,CIN,CIN
Jake Arrieta,BAL,BAL,BAL,BAL,CHN,CHN,CHN,CHN
Gerry Arrigo,MIN,CIN,NYN,CIN,CIN,CIN
Rolando Arrojo,TBA,TBA,COL,BOS,BOS,BOS
Bronson Arroyo,PIT,PIT,PIT,BOS,BOS,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,ARI
Christian Arroyo
Fernando Arroyo,DET,DET,MIN,MIN
Luis Arroyo,SLN,PIT,PIT,NYA,NYA,NYA
Rudy Arroyo
Erisbel Arruebarrena
Harry Arundel
Tug Arundel
Randy Asadoor
Jim Asbell
Casper Asbjornson
Jose Ascanio
Cody Asche,PHI,PHI,PHI,PHI
Miguel Asencio,KCA,KCA
Richie Ashburn,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,CHN,CHN,NYN
Alan Ashby,CLE,CLE,TOR,TOR,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
Andy Ashby,PHI,PHI,COL,SDN,SDN,SDN,SDN,SDN,SDN,SDN,PHI,ATL,LAN,LAN
Alec Asher
Tucker Ashford,SDN,SDN
Ken Ash,CIN,CIN,CIN
Billy Ashley,LAN,LAN,LAN,LAN
Nevin Ashley
Tom Asmussen
Bob Aspromonte,HOU,HOU,HOU,HOU,HOU,HOU,HOU,ATL,ATL,NYN
Ken Aspromonte,WS1,WS1,CLE,LAA
Brian Asselstine,ATL,ATL,ATL
Paul Assenmacher,ATL,ATL,ATL,ATL,CHN,CHN,CHN,CHN,CHA,CLE,CLE,CLE,CLE,CLE
Ezequiel Astacio
Pedro Astacio,LAN,LAN,LAN,LAN,LAN,LAN,COL,COL,COL,COL,COL,HOU,NYN,NYN,TEX,SDN,WAS
Barrett Astin
Joe Astroth,PHA,PHA,PHA,PHA,PHA,PHA,KC1
Carlos Asuaje
Scott Atchison,SEA,SFN,BOS,BOS,BOS,NYN,CLE
Justin Atchley
Charlie Atherton
Keith Atherton,OAK,OAK,OAK,MIN,MIN,MIN,CLE
Luis Atilano
Al Atkinson
Bill Atkinson,MON,MON
Ed Atkinson
Garrett Atkins,COL,COL,COL,COL,COL,BAL
James Atkins
Lefty Atkinson
Mitch Atkins
Tommy Atkins
Dick Attreau
Toby Atwell,CHN,PIT,PIT,PIT
Bill Atwood,PHI,PHI,PHI,PHI
Jake Atz,CHA,CHA
Chub Aubrey
Michael Aubrey
Derek Aucoin
Rich Aude
Rick Auerbach,ML4,ML4,LAN,CIN
Bryan Augenstein
Dave Augustine
Don August,ML4,ML4,ML4
Jerry Augustine,ML4,ML4,ML4,ML4,ML4,ML4,ML4,ML4,ML4
